ticker,company
NICL,PAM Mineral Tbk.
UVCR,Trimegah Karya Pratama Tbk.
BUKA,Bukalapak.com Tbk.
HAIS,Hasnur Internasional Shipping
OILS,Indo Oil Perkasa Tbk.
GPSO,Geoprima Solusi Tbk.
TCID,Mandom Indonesia Tbk.
TELE,Omni Inovasi Indonesia Tbk.
TFCO,Tifico Fiber Indonesia Tbk.
TGKA,Tigaraksa Satria Tbk.
TIFA,KDB Tifa Finance Tbk.
TINS,Timah Tbk.
TIRA,Tira Austenite Tbk
TIRT,Tirta Mahakam Resources Tbk
MKTR,Menthobi Karyatama Raya Tbk.
OMED,Jayamas Medica Industri Tbk.
BSBK,Wulandari Bangun Laksana Tbk.
PDPP,Primadaya Plastisindo Tbk.
KDTN,Puri Sentul Permai Tbk.
ZATA,Bersama Zatta Jaya Tbk.
BSSR,Baramulti Suksessarana Tbk.
BSWD,Bank Of India Indonesia Tbk.
BTEK,Bumi Teknokultura Unggul Tbk
BTEL,Bakrie Telecom Tbk.
BTON,Betonjaya Manunggal Tbk.
BTPN,Bank BTPN Tbk.
BUDI,Budi Starch & Sweetener Tbk.
MCOL,Prima Andalan Mandiri Tbk.
RSGK,Kedoya Adyaraya Tbk.
RUNS,Global Sukses Solusi Tbk.
SBMA,Surya Biru Murni Acetylene Tbk
CMNT,Cemindo Gemilang Tbk.
GTSI,GTS Internasional Tbk.
IDEA,Idea Indonesia Akademi Tbk.
KUAS,Ace Oldfields Tbk.
BOBA,Formosa Ingredient Factory Tbk
MTEL,Dayamitra Telekomunikasi Tbk.
DEPO,Caturkarda Depo Bangunan Tbk.
BINO,Perma Plasindo Tbk.
CMRY,Cisarua Mountain Dairy Tbk.
PORT,Nusantara Pelabuhan Handal Tbk
CARS,Industri dan Perdagangan Bintr
MINA,Sanurhasta Mitra Tbk.
FORZ,Forza Land Indonesia Tbk.
CLEO,Sariguna Primatirta Tbk.
TAMU,Pelayaran Tamarin Samudra Tbk.
WIKA,Wijaya Karya (Persero) Tbk.
WINS,Wintermar Offshore Marine Tbk.
WOMF,Wahana Ottomitra Multiartha Tb
WSKT,Waskita Karya (Persero) Tbk.
WTON,Wijaya Karya Beton Tbk.
YPAS,Yanaprima Hastapersada Tbk
YULE,Yulie Sekuritas Indonesia Tbk.
ZBRA,Dosni Roha Indonesia Tbk.
IMJS,Indomobil Multi Jasa Tbk.
IMPC,Impack Pratama Industri Tbk.
INAF,Indofarma Tbk.
INAI,Indal Aluminium Industry Tbk.
INCI,Intanwijaya Internasional Tbk
INCO,Vale Indonesia Tbk.
INDF,Indofood Sukses Makmur Tbk.
INDR,Indo-Rama Synthetics Tbk.
WGSH,Wira Global Solusi Tbk.
TAYS,Jaya Swarasa Agung Tbk.
WMPP,Widodo Makmur Perkasa Tbk.
RMKE,RMK Energy Tbk.
OBMD,OBM Drilchem Tbk.
AVIA,Avia Avian Tbk.
IPPE,Indo Pureco Pratama Tbk.
NASI,Wahana Inti Makmur Tbk.
BSML,Bintang Samudera Mandiri Lines
DRMA,Dharma Polimetal Tbk.
ADMR,Adaro Minerals Indonesia Tbk.
SEMA,Semacom Integrated Tbk.
ASLC,Autopedia Sukses Lestari Tbk.
JMAS,Asuransi Jiwa Syariah Jasa Mit
CAMP,Campina Ice Cream Industry Tbk
IPCM,Jasa Armada Indonesia Tbk.
PCAR,Prima Cakrawala Abadi Tbk.
LCKM,LCK Global Kedaton Tbk.
BOSS,Borneo Olah Sarana Sukses Tbk.
HELI,Jaya Trishindo Tbk.
NETV,Net Visi Media Tbk.
BAUT,Mitra Angkasa Sejahtera Tbk.
ENAK,Champ Resto Indonesia Tbk.
NTBK,Nusatama Berkah Tbk.
SMKM,Sumber Mas Konstruksi Tbk.
STAA,Sumber Tani Agung Resources Tb
NANO,Nanotech Indonesia Global Tbk.
BIKE,Sepeda Bersama Indonesia Tbk.
JSMR,Jasa Marga (Persero) Tbk.
JSPT,Jakarta Setiabudi Internasiona
JTPE,Jasuindo Tiga Perkasa Tbk.
KAEF,Kimia Farma Tbk.
KARW,ICTSI Jasa Prima Tbk.
KBLI,KMI Wire & Cable Tbk.
KBLM,Kabelindo Murni Tbk.
KBLV,First Media Tbk.
KBRI,Kertas Basuki Rachmat Indonesi
WIRG,WIR ASIA Tbk.
SICO,Sigma Energy Compressindo Tbk.
GOTO,GoTo Gojek Tokopedia Tbk.
TLDN,Teladan Prima Agro Tbk.
MTMH,Murni Sadar Tbk.
WINR,Winner Nusantara Jaya Tbk.
IBOS,Indo Boga Sukses Tbk.
OLIV,Oscar Mitra Sukses Sejahtera T
ASHA,Cilacap Samudera Fishing Indus
SWID,Saraswanti Indoland Developmen
TRGU,Cerestar Indonesia Tbk.
ARKO,Arkora Hydro Tbk.
ASRI,Alam Sutera Realty Tbk.
ASRM,Asuransi Ramayana Tbk.
ASSA,Adi Sarana Armada Tbk.
ATIC,Anabatic Technologies Tbk.
AUTO,Astra Otoparts Tbk.
BABP,Bank MNC Internasional Tbk.
BACA,Bank Capital Indonesia Tbk.
KINO,Kino Indonesia Tbk.
MARI,Mahaka Radio Integra Tbk.
MKNT,Mitra Komunikasi Nusantara Tbk
MTRA,Mitra Pemuda Tbk.
OASA,Maharaksa Biru Energi Tbk.
POWR,Cikarang Listrindo Tbk.
CHEM,Chemstar Indonesia Tbk.
DEWI,Dewi Shri Farmindo Tbk.
AXIO,Tera Data Indonusa Tbk.
KRYA,Bangun Karya Perkasa Jaya Tbk.
HATM,Habco Trans Maritima Tbk.
RCCC,Utama Radar Cahaya Tbk.
GULA,Aman Agrindo Tbk.
JARR,Jhonlin Agro Raya Tbk.
AMMS,Agung Menjangan Mas Tbk.
RAFI,Sari Kreasi Boga Tbk.
KKES,Kusuma Kemindo Sentosa Tbk.
ELPI,Pelayaran Nasional Ekalya Purn
EURO,Estee Gold Feet Tbk.
KLIN,Klinko Karya Imaji Tbk.
TOOL,Rohartindo Nusantara Luas Tbk.
BUAH,Segar Kumala Indonesia Tbk.
CRAB,Toba Surimi Industries Tbk.
MEDS,Hetzer Medical Indonesia Tbk.
COAL,Black Diamond Resources Tbk.
PRAY,Famon Awal Bros Sedaya Tbk.
CBUT,Citra Borneo Utama Tbk.
BELI,Global Digital Niaga Tbk.
